name,Location,URL,Avg Stars,Your Stars,Route Type,grade,Pitches,Length,Area Latitude,Area Longitude,id
Journey to Pitar,"(C) Main Wall, left side > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/120032280/journey-to-pitar,3,-1,Trad,5.11d,1,90,47.81847,-121.57139,487
Last Man Standing,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/121268844/last-man-standing,3,-1,Sport,5.11d,1,60,47.81962,-121.56921,488
Life direct,Lookout jr > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123168994/life-direct,2.6,-1,Trad,5.9,1,80,47.82584,-121.55801,489
The Beast That Hath Two Backs,Full (or nearly) Wall Routes > (f) Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120240164/the-beast-that-hath-two-backs,3.7,-1,Trad,5.12b/c,1,100,47.82384,-121.56581,490
Gnostic Diversions,Full (or nearly) Wall Routes > (f) Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117806411/gnostic-diversions,3,-1,Trad,5.12 PG13,1,100,47.82384,-121.56581,491
Divine Moments of Truth,Full (or nearly) Wall Routes > (f) Central Wall Area > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119249301/divine-moments-of-truth,4,-1,Trad,5.12c/d,2,175,47.82384,-121.56581,492
Between the Cheeks,(c) The Beach > (1) Upper Cheeks > The Cheeks > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108155014/between-the-cheeks,2.8,-1,Sport,5.10c,1,100,47.82399,-121.56549,493
Mexican Radio,(a) Wall of Voodoo > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/116193230/mexican-radio,3,-1,Trad,5.11a,2,170,47.82271,-121.56903,494
Sport Fishing,(b) Left of Earwax > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118824779/sport-fishing,3,-1,Trad,5.10c,3,110,47.82289,-121.5685,495
Tideline (open Project),The Lighthouse > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117717828/tideline-open-project,3,-1,TR,5.12,1,20,47.82326,-121.56583,496
Wild Boar,Mid Wall > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108161834/wild-boar,3,-1,Sport,5.11d,1,,47.8191,-121.5719,497
Path of Righteousness,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108143283/path-of-righteousness,3,-1,Trad,5.10b,1,,47.81859,-121.57101,498
Straight to Voicemail,(e) Sport Wall > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/118124004/straight-to-voicemail,3,-1,Sport,5.12b,1,100,47.82379,-121.566,499
The Scoop,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/116680622/the-scoop,3,-1,Trad,5.11d,1,,47.81962,-121.56921,500
Turkish Heels,K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117091890/turkish-heels,3,-1,Trad,5.11 R,1,,47.81867,-121.57402,501
PT Cruiser,Halloween > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122918485/pt-cruiser,2.5,-1,Trad,5.10d,1,110,47.82462,-121.55486,502
Etch-A-Sketch,The Blues Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/119444914/etch-a-sketch,3,-1,Sport,5.11-,1,,47.81993,-121.5696,503
Carefully Swallow the Metallic Noodle p2,Moonworms > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122654172/carefully-swallow-the-metallic-noodle-p2,3,-1,"Trad, TR",5.9+,1,50,47.82573,-121.55821,504
Extended Play,(2) Lower Cheeks > The Cheeks > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/115382360/extended-play,3,-1,Sport,5.13a,1,50,47.82399,-121.56548,505
Outta Mind,The Towers > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122780598/outta-mind,3.3,-1,"Trad, TR",5.1,1,55,47.82569,-121.55806,506
Delusions of Grandeur,(b) Grandeur Buttress > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108125718/delusions-of-grandeur,2.8,-1,Trad,5.10c,1,,47.81938,-121.57581,507
Squeeze It,(b) Left of Earwax > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/120218075/squeeze-it,3,-1,Trad,5.11c/d,1,50,47.82289,-121.5685,508
Gogum,(Ca) Dihedral Wall > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/117630440/gogum,3,-1,Trad,5.11a/b,1,,47.8185,-121.57148,509
Let's Barbecue,(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/112020411/lets-barbecue,3,-1,Trad,5.11b,1,60,47.81859,-121.57101,510
A Date with Dale,(d) Sam Hill > East Side > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/116087672/a-date-with-dale,3,-1,Sport,5.12b,1,90,47.81943,-121.57466,511
Sweets for Manuel,Duck Wall > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107296925/sweets-for-manuel,2.8,-1,Trad,5.10b/c,1,70,47.8249,-121.5601,512
Open Dyno Project,Upper Rhythm > The Rhythm Cliff > Middle Town Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122847736/open-dyno-project,3,-1,"Sport, Boulder",5.11 V8,1,,47.82061,-121.56993,513
Balancing Beluga,Moai > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122939296/balancing-beluga,3,-1,Trad,5.10b,2,100,47.82568,-121.55818,514
Law & Order (p2),(b) Central Area > Lookout Point > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122665717/law-order-p2,2.5,-1,Trad,5.10c,1,80,47.82531,-121.55859,515
Three Trucks Stacked on Top of Each Other,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107302192/three-trucks-stacked-on-top-of-each-other,3,-1,Sport,5.11c,1,40,47.825,-121.55807,516
Fool's Gold,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107569682/fools-gold,2.8,-1,Trad,5.9+ PG13,1,100,47.81962,-121.56921,517
Young Cynics,(c) Earwax Wall > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108149281/young-cynics,3,-1,Sport,5.12d,1,75,47.82329,-121.5678,518
Genuine Basten for your Acerbity,Lolybird > Planet Index > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/122710486/genuine-basten-for-your-acerbity,2.5,-1,Trad,5.1,1,61,47.8257,-121.55823,519
Savage Gardens,(c) The Country > The Country Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108405017/savage-gardens,3,-1,Trad,5.11c,1,80,47.81962,-121.56921,520
"School, Work, and Rehab",Lost Monkey > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/108147773/school-work-and-rehab,3,-1,Trad,5.10-,2,70,47.82382,-121.56276,521
Brave the Suppressed Laughter of the Tweeny Maid,Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/107298365/brave-the-suppressed-laughter-of-the-tweeny-maid,3,-1,Trad,5.11b,1,100,47.825,-121.55807,522
Killslug,(c) Earwax Wall > Upper Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/106328749/killslug,3,-1,Sport,5.12b,1,100,47.82329,-121.5678,523
Project Petzl,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123474963/project-petzl,2.6,-1,Sport,5.10b,1,110,47.81783,-121.57528,524
Keep it Simple,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123474870/keep-it-simple,2.4,-1,Sport,5.10c,2,200,47.81783,-121.57528,525
Trick or Treat,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123378374/trick-or-treat,3.3,-1,Sport,5.10c/d,2,200,47.81783,-121.57528,526
Sauna Time,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123475050/sauna-time,2.6,-1,Sport,5.10c/d,1,110,47.81783,-121.57528,527
Finding your Roots,(e) Field of Dreams > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington,https://www.mountainproject.com/route/123378283/finding-your-roots,3.4,-1,Sport,5.10d,2,200,47.81783,-121.57528,528
